Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Mallipeddi R., Verma A., Suganthan P.N., Panigrahi B.K., Bijwe P.R.","25639919900;41662485800;7003996538;25637555100;6701679530;","Constraint handling in transmission network expansion planning",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6466 LNCS",,,"709","717",,,"10.1007/978-3-642-17563-3_83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650899591&doi=10.1007%2f978-3-642-17563-3_83&partnerID=40&md5=caca522164166fdbca1867cfb6771019","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798, Singapore; Department of Energy and Environment, Energy and Resources Institute (TERI) University, Delhi, India; Department of Electrical Engineering, Indian Institute of Technology, Delhi, India","Mallipeddi, R., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798, Singapore; Verma, A., Department of Energy and Environment, Energy and Resources Institute (TERI) University, Delhi, India; Suganthan, P.N., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798, Singapore; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Bijwe, P.R., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India","Transmission network expansion planning (TNEP) is a very important and complex problem in power system. Recently, the use of metaheuristic techniques to solve TNEP is gaining more importance due to their effectiveness in handling the inequality constraints and discrete values over the conventional gradient based methods. Evolutionary algorithms (EAs) generally perform unconstrained search and require some additional mechanism to handle constraints. In EA literature, various constraint handling techniques have been proposed. However, to solve TNEP the penalty function approach is commonly used while the other constraint handling methods are untested. In this paper, we evaluate the performance of different constraint handling methods like Superiority of Feasible Solutions (SF), Self adaptive Penalty (SP), -Constraint (EC), Stochastic Ranking (SR) and the ensemble of constraint handling techniques (ECHT) on TNEP. The potential of different constraint handling methods and their ensemble is evaluated using an IEEE 24 bus system with and without security constraints. © 2010 Springer-Verlag.","constraint handling; differential Evolution; optimization; security constraints; Transmission network expansion planning","Bus systems; Commonly used; Complex problems; Constraint handling; Constraint-handling techniques; differential Evolution; Discrete values; Feasible solution; Gradient-based method; Inequality constraint; Meta-heuristic techniques; Penalty function approach; Power systems; Security constraint; Self-adaptive; Stochastic ranking; Transmission network expansion planning; Constraint handling; Constraint-handling techniques; Differential Evolution; Evolutionary algorithms (EAs); Meta-heuristic techniques; Penalty function approach; Security constraint; Transmission network expansion planning; Constraint theory; Evolutionary algorithms; Expansion; Network security; Optimization; Constraint theory; Electric power transmission; Optimization; Stochastic systems; Electric power transmission networks; Evolutionary algorithms","Mallipeddi, R.; School of Electrical and Electronic Engineering, , Singapore 639798, Singapore; email: mallipeddi.ram@gmail.com",,,03029743,3642175627; 9783642175626,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-78650899591
"Basak A., Pal S., Pandi V.R., Panigrahi B.K., Das S.","36704446000;35729366700;57222426379;25637555100;24729258600;","A hybrid differential invasive weed algorithm for congestion management",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6466 LNCS",,,"630","638",,4,"10.1007/978-3-642-17563-3_74","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650880227&doi=10.1007%2f978-3-642-17563-3_74&partnerID=40&md5=7219f8523d14e3f135929fd4060aeefc","Department of Electronics and Telecommunications, Jadavpur University, India; Department of Electrical Engineering, IIT Delhi, India","Basak, A., Department of Electronics and Telecommunications, Jadavpur University, India; Pal, S., Department of Electronics and Telecommunications, Jadavpur University, India; Pandi, V.R., Department of Electrical Engineering, IIT Delhi, India; Panigrahi, B.K., Department of Electrical Engineering, IIT Delhi, India; Das, S., Department of Electronics and Telecommunications, Jadavpur University, India","This work is dedicated to solve the problem of congestion management in restructured power systems. Nowadays we have open access market which pushes the power system operation to their limits for maximum economic benefits but at the same time making the system more susceptible to congestion. In this regard congestion management is absolutely vital. In this paper we try to remove congestion by generation rescheduling where the cost involved in the rescheduling process is minimized. The proposed algorithm is a hybrid of Invasive Weed Optimization (IWO) and Differential Evolution (DE). The resultant hybrid algorithm was applied on standard IEEE 30 bus system and observed to beat existing algorithms like Simple Bacterial foraging (SBF), Genetic Algorithm (GA), Invasive Weed Optimization (IWO), Differential Evolution (DE) and hybrid algorithms like Hybrid Bacterial Foraging and Differential Evolution (HBFDE) and Adaptive Bacterial Foraging with Nelder Mead (ABFNM). © 2010 Springer-Verlag.","congestion management; differential evolution; Invasive weed; optimal power flow; wheeling transactions","Congestion management; Differential Evolution; Invasive weed; Optimal power flows; Wheeling transactions; Congestion management; Differential Evolution; Invasive weed; Optimal power flows; Wheeling transactions; Acoustic generators; Bacteriology; Biology; Electric load flow; Optimization; Electric load flow; Genetic algorithms; Optimization; Genetic algorithms; Evolutionary algorithms","Basak, A.; Department of Electronics and Telecommunications, India; email: aniruddha_ju_etce@yahoo.com",,,03029743,3642175627; 9783642175626,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-78650880227
"Giri R., Chowdhury A., Ghosh A., Panigrahi B.K., Das S.","57196730217;36442206600;56693492000;25637555100;24729258600;","Offline parameter estimation of induction motor using a meta heuristic algorithm",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6466 LNCS",,,"523","530",,5,"10.1007/978-3-642-17563-3_61","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650878718&doi=10.1007%2f978-3-642-17563-3_61&partnerID=40&md5=9514597993b445dc86e0e460aa803cac","Dept. of Electronics and Telecommunication Engg., Jadavpur University, Kolkata 700 032, India; Electrical Engg. Department, IIT, Delhi, India","Giri, R., Dept. of Electronics and Telecommunication Engg., Jadavpur University, Kolkata 700 032, India; Chowdhury, A., Dept. of Electronics and Telecommunication Engg., Jadavpur University, Kolkata 700 032, India; Ghosh, A., Dept. of Electronics and Telecommunication Engg., Jadavpur University, Kolkata 700 032, India; Panigrahi, B.K., Electrical Engg. Department, IIT, Delhi, India; Das, S., Dept. of Electronics and Telecommunication Engg., Jadavpur University, Kolkata 700 032, India","An offline parameter estimation problem of an induction motor using a well known, efficient yet simple meta heuristic algorithm DEGL (Differential Evolution with a neighborhood based mutation scheme) has been presented in this article. Two different induction motor models such as approximate and exact models are considered. The parameter estimation methodology describes a method for estimating the steady-state equivalent circuit parameters from the motor performance characteristics, which is normally available from the manufacturer data or from tests. Differential Evolution is not completely free from the problems of slow or premature convergence, that's why the idea of a much more efficient variant of DE comes. The variant of DE used for solving this problem utilize the concept of the neighborhood of each population member. The feasibility of the proposed method is demonstrated for two different motors and it is compared with the genetic algorithm and the Particle Swarm Optimization algorithm. From the simulation results it is evident that DEGL outperforms both the algorithms (GA and PSO) in the estimation of the parameters of the induction motor. © 2010 Springer-Verlag.","Differential Evolution; Genetic Algorithms; Metaheuristics; Particle Swarm Optimization","Differential Evolution; Equivalent circuit parameter; Estimation methodologies; Induction motor model; Meta heuristic algorithm; Meta heuristics; Motor performance; Offline; Particle swarm; Particle swarm optimization algorithm; Premature convergence; Simulation result; Differential Evolution; Equivalent circuit parameter; Estimation methodologies; Meta heuristic algorithm; Meta heuristics; Parameter estimation problems; Particle swarm optimization algorithm; Pre-mature convergences; Biology; Genetic algorithms; Heuristic algorithms; Induction motors; Metal analysis; Particle swarm optimization (PSO); Problem solving; Equivalent circuits; Estimation; Evolutionary algorithms; Genetic algorithms; Heuristic algorithms; Induction motors; Optimization; Particle swarm optimization (PSO); Problem solving; Parameter estimation; Parameter estimation","Giri, R.; Dept. of Electronics and Telecommunication Engg., , Kolkata 700 032, India; email: ritwikgiri@gmail.com",,,03029743,3642175627; 9783642175626,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-78650878718
"Krishnanand K.R., Rout P.K., Panigrahi B.K., Mohapatra A.","35409804100;35753375500;25637555100;36721846100;","Solution to non-convex electric power dispatch problem using seeker optimization algorithm",2010,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6466 LNCS",,,"537","544",,3,"10.1007/978-3-642-17563-3_63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650858432&doi=10.1007%2f978-3-642-17563-3_63&partnerID=40&md5=0de61db99ad8775de167a392a7453614","Multi-Disciplinary Research Cell, Siksha O Anusandhan University, Bhubaneswar, India; Department of Electrical and Electronics Engineering, Institute of Technical Education and Research, Bhubaneswar, Orissa, India; Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Department of Electrical Engineering, CET, BPUT, Bhubaneswar, Orissa, India","Krishnanand, K.R., Multi-Disciplinary Research Cell, Siksha O Anusandhan University, Bhubaneswar, India; Rout, P.K., Department of Electrical and Electronics Engineering, Institute of Technical Education and Research, Bhubaneswar, Orissa, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Mohapatra, A., Department of Electrical Engineering, CET, BPUT, Bhubaneswar, Orissa, India","This paper presents the application of Seeker Optimization Algorithm (SOA) to constrained economic load dispatch problem. Independent simulations were performed over separate systems with different number of generating units having constraints like prohibited operating zones and ramp rate limits. The performance is also compared with other existing similar approaches. The proposed methodology was found to be robust, fast converging and more proficient over other existing techniques. © 2010 Springer-Verlag.","economic load dispatch; modified seeker optimization algorithm; non-convex function; prohibited operating zone; ramp rate limit; transmission losses","Economic load dispatch; Nonconvex functions; Prohibited operating zone; Ramp rate limits; Seeker optimization algorithm; transmission losses; Economic load dispatch; Nonconvex functions; Prohibited operating zone; Ramp rate limits; Seeker optimization algorithm; Transmission loss; Constrained optimization; Convex optimization; Functions; Wave transmission; Constrained optimization; Electric power plant loads; Evolutionary algorithms; Functions; Optimization; Evolutionary algorithms; Electric load dispatching","Krishnanand, K. R.; Multi-Disciplinary Research Cell, , Bhubaneswar, India; email: krishkr09@gmail.com",,,03029743,3642175627; 9783642175626,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final","",Scopus,2-s2.0-78650858432
"Dash P.K., Hasan S., Panigrahi B.K.","7102314306;24734053600;25637555100;","A hybrid unscented filtering and particle swarm optimization technique for harmonic analysis of nonstationary signals",2010,"Measurement: Journal of the International Measurement Confederation","43","10",,"1447","1457",,17,"10.1016/j.measurement.2010.08.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957837907&doi=10.1016%2fj.measurement.2010.08.013&partnerID=40&md5=d7627ebb06688345b39c477a8ae55122","Siksha 'o' Anusandhan University, Bhubaneswar 751 030, India; Indian Institute of Technology, New Delhi, India","Dash, P.K., Siksha 'o' Anusandhan University, Bhubaneswar 751 030, India; Hasan, S., Siksha 'o' Anusandhan University, Bhubaneswar 751 030, India; Panigrahi, B.K., Indian Institute of Technology, New Delhi, India","This paper presents a modified unscented Kalman filter for accurate estimation of frequency and harmonic components of a time-varying signal embedded in noise with low signal-to-noise ratio. Further, the model and measurement error covariances along with the unscented Kalman filter parameters are selected using a modified particle swarm optimization algorithm. To circumvent the problem of premature convergence and local minima, a dynamically varying inertia weight based on the variance of the population fitness is used. This results in a better local and global searching ability of the particles, which improves the convergence of the velocity and better accuracy of the unscented Kalman filter parameters. Various simulation results for nonstationary sinusoidal signals with time varying amplitude, phase and harmonic content corrupted with noise, reveal significant improvement in noise rejection and speed of convergence and accuracy in comparison to the well known extended Kalman filter. © 2010 Elsevier Ltd. All rights reserved.","Adaptive particle swarm optimization; Frequency estimation; Harmonics estimation; Time-varying harmonics; Unscented Kalman filter; Unscented transformation","Adaptive particle swarm optimizations; Harmonics estimation; Time-varying harmonics; Unscented Kalman Filter; Unscented transformations; Estimation; Fourier series; Frequency estimation; Harmonic analysis; Harmonic distortion; Kalman filters; Nonlinear filtering; Signal to noise ratio; Time varying systems; Particle swarm optimization (PSO)","Dash, P. K.; Siksha 'o' Anusandhan University, Bhubaneswar 751 030, India; email: pkdash.india@gmail.com",,,02632241,,MSRMD,,"English","Meas J Int Meas Confed",Article,"Final","",Scopus,2-s2.0-77957837907
"Ravikumar Pandi V., Biswas A., Dasgupta S., Panigrahi B.K.","57222426379;35551998000;57214168868;25637555100;","A hybrid bacterial foraging and differential evolution algorithm for congestion management",2010,"European Transactions on Electrical Power","20","7",,"862","871",,19,"10.1002/etep.368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864670598&doi=10.1002%2fetep.368&partnerID=40&md5=95d6f4a14f45130216a179a9aed81565","Department of Electronics and Telecommunication Engineering, Jadavpur University, India; Department of Electrical Engineering, IIT, Delhi, India","Ravikumar Pandi, V., Department of Electrical Engineering, IIT, Delhi, India; Biswas, A., Department of Electronics and Telecommunication Engineering, Jadavpur University, India; Dasgupta, S., Department of Electronics and Telecommunication Engineering, Jadavpur University, India; Panigrahi, B.K., Department of Electrical Engineering, IIT, Delhi, India","This work presents the application of hybrid bacterial foraging algorithm to solve congestion management problem in restructured power systems. The open access market environment makes the power system operation as more complicated one. The more emerging problem in the recent research is congestion management problem which requires to be analyzed to supply power to the consumers in most reliable manner. In this paper, we have tried to remove the congestion in the transmission line by generation rescheduling with the cost involved in the rescheduling process should be minimized. The objective function for hybrid bacterial foraging-differential evolution (HBFDE) optimization algorithm is considered as the minimization of the congestion cost. The results are also compared with the genetic algorithm (GA), simple bacterial foraging (SBF) algorithm and traditional method using MATPOWER. Numerical results for the standard IEEE 30 bus system having six generating units have been presented to demonstrate the performance of the algorithm. Copyright © 2009 John Wiley & Sons, Ltd.","Bacterial foraging; Congestion management; Differential evolution; Optimal power flow; Wheeling transactions","Bacterial foraging; Congestion management; Differential Evolution; Optimal power flows; Wheeling transactions; Genetic algorithms; Traffic congestion; Problem solving","Ravikumar Pandi, V.; Department of Electrical Engineering, , Delhi, India; email: ravikumarpandi@gmail.com",,,1430144X,,,,"English","Eur Trans Electr Power",Article,"Final","",Scopus,2-s2.0-84864670598
"Verma A., Bijwe P.R., Panigrahi B.K.","41662485800;6701679530;25637555100;","A metaheuristic approach for transmission system expansion planning",2010,"Studies in Computational Intelligence","302",,,"367","379",,,"10.1007/978-3-642-14013-6_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956748611&doi=10.1007%2f978-3-642-14013-6_12&partnerID=40&md5=8443d9809ef529bed23dafe492fc93a6","Department of Electrical Engineering, Indian Institute of Technology, Delhi, India","Verma, A., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Bijwe, P.R., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology, Delhi, India","Transmission network expansion planning (TNEP) is a very important problem to power system. The problem is very complex and computationally demanding because of discrete nature of decision variables and large number of options to be analyzed. Hence, more robust and efficient techniques are required to solve such problem. One of the recently developed metaheuristic, known as Harmony search (HS) has been tested for many engineering optimization problems and found to be an efficient tool for optimization. Hence, the motivation for this chapter is to investigate the application of HS for TNEP. The results for three sample test system are obtained to show the potential of the tested algorithm. The results obtained with HS are compared with basic binary GA to confirm the effectiveness of HS in terms of solution quality and number of fitness function evaluations required. © 2010 Springer-Verlag Berlin Heidelberg.",,,"Verma, A.; Department of Electrical Engineering, , Delhi, India","Panigrahi B.K.",,1860949X,9783642140129,,,"English","Stud. Comput. Intell.",Article,"Final","",Scopus,2-s2.0-77956748611
"Roychowdhury S., Das S., Scoglio C., Das S., Panigrahi B.K., Pattnaik S.S.","55653056100;55356736100;6701342531;24729258600;25637555100;7006422314;","Mitigation strategies in epidemics: Evolutionary optimization using a hierarchy of objective functions",2010,"Proceedings of the 12th Annual Genetic and Evolutionary Computation Conference, GECCO '10",,,,"1325","1326",,,"10.1145/1830483.1830725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955905022&doi=10.1145%2f1830483.1830725&partnerID=40&md5=f8a80038c0611898183816a1474e32ef","Elect. and Comp Engg., Kansas State University, Manhattan, KS, United States; Electrical Engg., Jadavpur University, Kolkata, WB, United States; Electrical Engg., IIT Delhi, New Delhi, India; NITTR, Chandigarh, India","Roychowdhury, S., Elect. and Comp Engg., Kansas State University, Manhattan, KS, United States; Das, S., Elect. and Comp Engg., Kansas State University, Manhattan, KS, United States; Scoglio, C., Elect. and Comp Engg., Kansas State University, Manhattan, KS, United States; Das, S., Electrical Engg., Jadavpur University, Kolkata, WB, United States; Panigrahi, B.K., Electrical Engg., IIT Delhi, New Delhi, India; Pattnaik, S.S., NITTR, Chandigarh, India","In this paper, we describe a multi-objective approach to determine an effective mitigation strategy during an outbreak of foot and mouth disease in cattle. The goal of the approach is to minimize the total number of infections. In addition, the direct costs must also be minimized as a secondary objective. The animals culled and vaccinations may also be minimized, as long as the number of infections is not compromised. Thus a three-tier hierarchy of objectives exists. A framework that considers objective hierarchies during a multi-objective optimization algorithm is suggested. Results show that this produces better results than a conventional multi-objective optimization approach.","Epidemics; Evolutionary algorithm; Foot and mouth; Fuzzy; Multi-objective; Pareto","Epidemics; Foot and mouth; Fuzzy; Multi objective; Pareto; Animals; Cost accounting; Epidemiology; Evolutionary algorithms; Multiobjective optimization","Roychowdhury, S.; Elect. and Comp Engg., , Manhattan, KS, United States; email: sohinirc@ksu.edu",,,,9781450300728,,,"English","Proc. Annu. Genet. Evol. Comput. Conf., GECCO",Conference Paper,"Final","",Scopus,2-s2.0-77955905022
"Das S., Abraham A., Panigrahi B.K.","24729258600;7202760099;25637555100;","Computational Intelligence: Foundations, Perspectives, and Recent Trends",2010,"Computational Intelligence and Pattern Analysis in Biological Informatics",,,,"1","37",,8,"10.1002/9780470872352.ch1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886013967&doi=10.1002%2f9780470872352.ch1&partnerID=40&md5=1540335d8625e6515fce67772af1712e","Department of Electronics and Telecommunication, Jadavpur University, Kolkata, India; Machine Intelligence Research Labs (MIR Labs), Scientific Network for Innovation and Research Excellence, Auburn, WA, United States; Department of Electrical Engineering, Indian Institute of Technology (IIT), Delhi, India","Das, S., Department of Electronics and Telecommunication, Jadavpur University, Kolkata, India; Abraham, A., Machine Intelligence Research Labs (MIR Labs), Scientific Network for Innovation and Research Excellence, Auburn, WA, United States; Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology (IIT), Delhi, India",[No abstract available],"Computational intelligence - foundations, perspectives and recent trends; Probabilistic computing and belief networks; Tackling complex search problems - optimization, at the heart of natural processes",,"Das, S.; Department of Electronics and Telecommunication, , Kolkata, India",,"John Wiley and Sons",,9780470581599,,,"English","Comput. Intell. and Pattern Anal. in Biol. Informatics",Book Chapter,"Final","",Scopus,2-s2.0-84886013967
"Dash P.K., Hasan S., Panigrahi B.K.","7102314306;24734053600;25637555100;","Adaptive complex unscented Kalman filter for frequency estimation of time-varying signals",2010,"IET Science, Measurement and Technology","4","2","ISMTCT000004000002000093000001","93","103",,27,"10.1049/iet-smt.2009.0003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952313916&doi=10.1049%2fiet-smt.2009.0003&partnerID=40&md5=4e57e59b80414d9f19d32f23e82c0617","SOA University, Multidisciplinary Research Centre, Bhubaneswar, India; Silicon Institute of Technology, Bhubaneswar, India; Indian Institute of Technology, New Delhi, India","Dash, P.K., SOA University, Multidisciplinary Research Centre, Bhubaneswar, India; Hasan, S., Silicon Institute of Technology, Bhubaneswar, India; Panigrahi, B.K., Indian Institute of Technology, New Delhi, India","A simple and robust non-linear filter algorithm has been proposed in this study for estimating the frequency of a time-varying sinusoidal signal under high noise conditions. The real signal is first converted to an analytical signal and its complex state-space model is derived. An unscented complex Kalman filter (CUKF) is then obtained using the complex signal model and the error covariances along with the Kalman gain are updated iteratively. Also, the stability and the convergence characteristics of the proposed filter are presented for a single sinusoid embedded in noise. It has been shown that the proposed algorithm works efficiently for the estimation of abrupt changes in signal frequency under high noise conditions. To evaluate the performance of the proposed algorithm several computer simulation results of real-time and synthetic signals are presented. Further to improve the performance of the proposed filter in the presence of significant noise and distortions, the covariance matrices are tuned iteratively. © 2010 The Institution of Engineering and Technology.",,"Abrupt change; Analytical signals; Complex signal; Convergence characteristics; Covariance matrices; Error covariances; High noise; Kalman gain; Nonlinear filter; Real signals; Signal frequencies; State-space models; Synthetic signals; Time varying signal; Time-varying sinusoidal signal; Unscented Kalman Filter; Algorithms; Computer simulation; Covariance matrix; Estimation; Kalman filters; Nonlinear filtering; Time varying systems; Frequency estimation","Dash, P.K.; SOA University, , Bhubaneswar, India; email: pkdash.india@gmail.com",,,17518822,,,,"English","IET Sci. Meas. Technol.",Article,"Final","",Scopus,2-s2.0-77952313916
"Gandhi T., Panigrahi B.K., Bhatia M., Anand S.","24343318600;25637555100;57211797763;7201524223;","Expert model for detection of epileptic activity in EEG signature",2010,"Expert Systems with Applications","37","4",,"3513","3520",,129,"10.1016/j.eswa.2009.10.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71349088496&doi=10.1016%2fj.eswa.2009.10.036&partnerID=40&md5=4214263407cb7484286c4adfd4989fd3","Brain Dynamics and Cognitive Engineering Laboratory, Centre for Biomedical Engineering, Indian Institute of Technology, Delhi, India; Biomedical Engineering Unit, All India Institute of Medical Sciences, New Delhi, India; Machine Intelligence Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Department of Neurology, Sir Gangaram Hospital, New Delhi, India","Gandhi, T., Brain Dynamics and Cognitive Engineering Laboratory, Centre for Biomedical Engineering, Indian Institute of Technology, Delhi, India, Biomedical Engineering Unit, All India Institute of Medical Sciences, New Delhi, India; Panigrahi, B.K., Machine Intelligence Research Laboratory, Department of Electrical Engineering, Indian Institute of Technology, Delhi, India; Bhatia, M., Department of Neurology, Sir Gangaram Hospital, New Delhi, India; Anand, S., Brain Dynamics and Cognitive Engineering Laboratory, Centre for Biomedical Engineering, Indian Institute of Technology, Delhi, India, Biomedical Engineering Unit, All India Institute of Medical Sciences, New Delhi, India","Seizure detection and classification using signal processing methods has been an important issue of research for the last two decades. In the present study, a novel scheme was presented to detect epileptic seizure activity with very fast and high accuracy from background electro encephalogram (EEG) data recorded from epileptic and normal subjects. The proposed scheme is based on discrete wavelet transform (DWT) and energy estimation at each node of the decomposition tree followed by application of probabilistic neural network (PNN) for classification. Normal as well as epileptic EEG epochs were decomposed into approximation and details coefficients till the sixth-level using DWT. Approximate energy (EDA) values of the wavelet coefficients at all nodes of the down sampled tree were used as a feature vector to characterize the predictability of the epileptic activity within the records of EEG data. In order to demonstrate the classification accuracy of the proposed probabilistic neural network, tenfold cross-validation was implemented in the expert model. Clinical EEG data recorded from normal as well as epileptic subjects were used to test the performance of this new scheme. It was found that with the proposed scheme, the detection is 99.33% accurate with sensitivity and specificity as 99.6% and 99%, respectively. The proposed model can be widely used in developing countries where there is an acute shortage of trained neurologist. © 2009 Elsevier Ltd. All rights reserved.","Approximate energy (EDN); Discrete wavelet transform (DWT); Probabilistic neural network (PNN); Seizure","Classification accuracy; Cross validation; Decomposition trees; Energy estimation; Epileptic seizures; Expert model; Feature vectors; Probabilistic neural networks; Seizure detection; Sensitivity and specificity; Wavelet coefficients; Developing countries; Discrete wavelet transforms; Electroencephalography; Industrial research; Signal processing; Wavelet decomposition; Neural networks","Gandhi, T.; Brain Dynamics and Cognitive Engineering Laboratory, , Delhi, India; email: gandhitk@gmail.com",,,09574174,,ESAPE,,"English","Expert Sys Appl",Article,"Final","",Scopus,2-s2.0-71349088496
"Bakwad K., Pattnaik S., Sohi B., Devi S., Panigrahi B., Gollapudi S.","24466343900;7006422314;16242568300;7102042985;25637555100;25823043400;","Multimodal function optimization using synchronous bacterial foraging optimization technique",2010,"IETE Journal of Research","56","2",,"80","87",,10,"10.4103/0377-2063.63085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952508868&doi=10.4103%2f0377-2063.63085&partnerID=40&md5=fe651339c538ad479e785b266b865520","National Institute of Technical Teachers' Training and Research, Chandigarh, India; Surya Schools of Engineering and Technology, Rajpura, Panjab, India; Electrical Engineering Department, Indian Institute of Technology, Delhi, India","Bakwad, K., National Institute of Technical Teachers' Training and Research, Chandigarh, India; Pattnaik, S., National Institute of Technical Teachers' Training and Research, Chandigarh, India; Sohi, B., Surya Schools of Engineering and Technology, Rajpura, Panjab, India; Devi, S., National Institute of Technical Teachers' Training and Research, Chandigarh, India; Panigrahi, B., Electrical Engineering Department, Indian Institute of Technology, Delhi, India; Gollapudi, S., National Institute of Technical Teachers' Training and Research, Chandigarh, India","The paper presents an improved variant of bacterial foraging optimization (BFO) named as Synchronous Bacterial Foraging Optimization (SBFO). The proposed SBFO is used to optimize multimodal and high dimensional functions. As all the bacteria update their information simultaneously, it has been named synchronous. A mutation operator proposed in this paper performs the global search. In SBFO, all bacteria process information independently in the same generation; hence parallel computers can be used to evaluate fitness values. The performance of SBFO is validated on a set of seven benchmark functions i.e. Sphere, Rosenbrock, Rastrigin, Griewank, Ackley, Schaffer′s, Shekel′s Foxholes. The results are compared with other published methods such as classical BFO, hybrid BFO (BSO), swarm-based algorithms, differential evaluation and Ashaker. The simulation results on benchmark functions show that the proposed optimization is capable of producing good quality global optima as compared to the above mentioned optimization techniques. The proposed method is a new variant of BFO and suitable for optimization of multimodal and high dimensional functions. Copyright © 2010 by the IETE.","Average optimum value and standard deviation; Benchmark functions; High dimension; Multimodal; Mutation; Synchronous bacterial foraging optimization","Bacterial foraging optimization; Benchmark functions; High dimensions; Multi-modal; Optimum value; Standard deviation; Bacteriology; Benchmarking; Function evaluation; Statistics; Optimization","Bakwad, K.; National Institute of Technical Teachers' Training and Research, Chandigarh, India; email: km_malikaforu@yahoo.co.in",,,03772063,,,,"English","IETE J Res",Article,"Final","",Scopus,2-s2.0-77952508868
"Panigrahi B.K., Pandi V.R., Das S., Abraham A.","25637555100;57222426379;24729258600;7202760099;","Population variance harmony search algorithm to solve optimal power flow with non-smooth cost function",2010,"Studies in Computational Intelligence","270",,,"65","75",,9,"10.1007/978-3-642-04317-8_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75749087198&doi=10.1007%2f978-3-642-04317-8_6&partnerID=40&md5=d84398f15a0e854da86b4fc3b44c859d","Department of Electrical Engineering, Indian Institute of Technology, Delhi, Hauz Khas, New Delhi - 110016, India; Department of Electronics and Telecommunication Engineering, Jadavpur University, Kolkata - 700 032, India; Machine Intelligence Research Labs (MIR Labs), United States","Panigrahi, B.K., Department of Electrical Engineering, Indian Institute of Technology, Delhi, Hauz Khas, New Delhi - 110016, India; Pandi, V.R., Department of Electrical Engineering, Indian Institute of Technology, Delhi, Hauz Khas, New Delhi - 110016, India; Das, S., Department of Electronics and Telecommunication Engineering, Jadavpur University, Kolkata - 700 032, India; Abraham, A., Machine Intelligence Research Labs (MIR Labs), United States","This chapter presents a novel Harmony Search (HS) algorithm used to solve security constrained optimal power flow (OPF) with various generator fuel cost characteristics. HS is a recently developed derivative-free, meta-heuristic optimization algorithm, which draws inspiration from the musical process of searching for a perfect state of harmony. This chapter analyses the evolution of the population-variance over successive generations in HS and thereby draws some important attention regarding the explorative power of HS. This novel methodology of modified population variance harmony search algorithm (PVHS) easily takes care of solving optimal power flow problem even with non-smooth and piecewise cost functions. This PVHS algorithm was tested on the IEEE30 bus system with three different types of cost characteristics and compared with other reported results. © 2010 Springer-Verlag Berlin Heidelberg.",,,"Panigrahi, B. K.; Department of Electrical Engineering, Hauz Khas, New Delhi - 110016, India; email: bkpanigrahi@ee.iitd.ac.in",,,1860949X,9783642043161,,,"English","Stud. Comput. Intell.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-75749087198
